"year","location","crime","rate_per_100K","county"
2014,"Georgia","Rape Revised",31.2,"DeKalb County"
2014,"Georgia","Robbery",126.6,"DeKalb County"
2014,"Georgia","Violent Crime",385.8,"DeKalb County"
2017,"Georgia","Aggravated Assault",230,"DeKalb County"
2017,"Georgia","Homicide",6.5,"DeKalb County"
2017,"Georgia","Property Crime",2858.4,"DeKalb County"
2017,"Georgia","Rape Legacy",NA,"DeKalb County"
2017,"Georgia","Rape Revised",25.4,"DeKalb County"
2017,"Georgia","Robbery",94.5,"DeKalb County"
2017,"Georgia","Violent Crime",356.5,"DeKalb County"
2018,"Georgia","Aggravated Assault",225.2,"DeKalb County"
2018,"Georgia","Homicide",6.2,"DeKalb County"
2018,"Georgia","Property Crime",2642.9,"DeKalb County"
2018,"Georgia","Rape Legacy",NA,"DeKalb County"
2018,"Georgia","Rape Revised",26.6,"DeKalb County"
2018,"Georgia","Robbery",80.9,"DeKalb County"
2018,"Georgia","Violent Crime",338.9,"DeKalb County"
2019,"Georgia","Aggravated Assault",232,"DeKalb County"
2019,"Georgia","Homicide",6.2,"DeKalb County"
2019,"Georgia","Property Crime",2375.8,"DeKalb County"
2019,"Georgia","Rape Legacy",NA,"DeKalb County"
2019,"Georgia","Rape Revised",27.5,"DeKalb County"
2019,"Georgia","Robbery",75,"DeKalb County"
2019,"Georgia","Violent Crime",340.7,"DeKalb County"
2012,"Georgia","Aggravated Assault",226.4,"DeKalb County"
2012,"Georgia","Homicide",5.9,"DeKalb County"
2012,"Georgia","Property Crime",3423.6,"DeKalb County"
2012,"Georgia","Rape Legacy",21.6,"DeKalb County"
2012,"Georgia","Rape Revised",NA,"DeKalb County"
2012,"Georgia","Robbery",126.1,"DeKalb County"
2012,"Georgia","Violent Crime",380,"DeKalb County"
2009,"Georgia","Aggravated Assault",249.8,"DeKalb County"
2009,"Georgia","Homicide",5.8,"DeKalb County"
2009,"Georgia","Property Crime",3672.6,"DeKalb County"
2009,"Georgia","Rape Legacy",23.6,"DeKalb County"
2009,"Georgia","Rape Revised",NA,"DeKalb County"
2009,"Georgia","Robbery",148.9,"DeKalb County"
2009,"Georgia","Violent Crime",428,"DeKalb County"
2010,"Georgia","Aggravated Assault",247.5,"DeKalb County"
2010,"Georgia","Homicide",5.7,"DeKalb County"
2010,"Georgia","Property Crime",3639.2,"DeKalb County"
2010,"Georgia","Rape Legacy",21.7,"DeKalb County"
2010,"Georgia","Rape Revised",NA,"DeKalb County"
2010,"Georgia","Robbery",127.4,"DeKalb County"
2010,"Georgia","Violent Crime",402.3,"DeKalb County"
2011,"Georgia","Aggravated Assault",223,"DeKalb County"
2011,"Georgia","Homicide",5.6,"DeKalb County"
2011,"Georgia","Property Crime",3640.6,"DeKalb County"
2011,"Georgia","Rape Legacy",21.1,"DeKalb County"
2011,"Georgia","Rape Revised",NA,"DeKalb County"
2011,"Georgia","Robbery",125,"DeKalb County"
2011,"Georgia","Violent Crime",374.6,"DeKalb County"
2016,"Georgia","Aggravated Assault",233.6,"DeKalb County"
2016,"Georgia","Homicide",6.6,"DeKalb County"
2016,"Georgia","Property Crime",2979.6,"DeKalb County"
2016,"Georgia","Rape Legacy",23.6,"DeKalb County"
2016,"Georgia","Rape Revised",32.8,"DeKalb County"
2016,"Georgia","Robbery",117.5,"DeKalb County"
2016,"Georgia","Violent Crime",390.4,"DeKalb County"
2009,"Maine","Aggravated Assault",59.2,"Androscoggin County"
2009,"Maine","Aggravated Assault",59.2,"Cumberland County"
2009,"Maine","Homicide",2,"Androscoggin County"
2009,"Maine","Homicide",2,"Cumberland County"
2009,"Maine","Property Crime",2405.1,"Androscoggin County"
2009,"Maine","Property Crime",2405.1,"Cumberland County"
2009,"Maine","Rape Legacy",28.4,"Androscoggin County"
2009,"Maine","Rape Legacy",28.4,"Cumberland County"
2009,"Maine","Rape Revised",NA,"Androscoggin County"
2009,"Maine","Rape Revised",NA,"Cumberland County"
2009,"Maine","Robbery",30.3,"Androscoggin County"
2009,"Maine","Robbery",30.3,"Cumberland County"
2009,"Maine","Violent Crime",119.9,"Androscoggin County"
2009,"Maine","Violent Crime",119.9,"Cumberland County"
2010,"Maine","Aggravated Assault",60,"Androscoggin County"
2010,"Maine","Aggravated Assault",60,"Cumberland County"
2010,"Maine","Homicide",1.8,"Androscoggin County"
2010,"Maine","Homicide",1.8,"Cumberland County"
2010,"Maine","Property Crime",2478.6,"Androscoggin County"
2010,"Maine","Property Crime",2478.6,"Cumberland County"
2010,"Maine","Rape Legacy",29.3,"Androscoggin County"
2010,"Maine","Rape Legacy",29.3,"Cumberland County"
2010,"Maine","Rape Revised",NA,"Androscoggin County"
2010,"Maine","Rape Revised",NA,"Cumberland County"
2010,"Maine","Robbery",31,"Androscoggin County"
2010,"Maine","Robbery",31,"Cumberland County"
2010,"Maine","Violent Crime",122.1,"Androscoggin County"
2010,"Maine","Violent Crime",122.1,"Cumberland County"
2011,"Maine","Aggravated Assault",63.8,"Androscoggin County"
2011,"Maine","Aggravated Assault",63.8,"Cumberland County"
2011,"Maine","Homicide",2,"Androscoggin County"
2011,"Maine","Homicide",2,"Cumberland County"
2011,"Maine","Property Crime",2546.3,"Androscoggin County"
2011,"Maine","Property Crime",2546.3,"Cumberland County"
2011,"Maine","Rape Legacy",29.7,"Androscoggin County"
2011,"Maine","Rape Legacy",29.7,"Cumberland County"
2011,"Maine","Rape Revised",NA,"Androscoggin County"
2011,"Maine","Rape Revised",NA,"Cumberland County"
2011,"Maine","Robbery",27.9,"Androscoggin County"
2011,"Maine","Robbery",27.9,"Cumberland County"
2011,"Maine","Violent Crime",123.3,"Androscoggin County"
2011,"Maine","Violent Crime",123.3,"Cumberland County"
2012,"Maine","Aggravated Assault",60.8,"Androscoggin County"
2012,"Maine","Aggravated Assault",60.8,"Cumberland County"
2012,"Maine","Homicide",2,"Androscoggin County"
2012,"Maine","Homicide",2,"Cumberland County"
2012,"Maine","Property Crime",2514,"Androscoggin County"
2012,"Maine","Property Crime",2514,"Cumberland County"
2012,"Maine","Rape Legacy",28,"Androscoggin County"
2012,"Maine","Rape Legacy",28,"Cumberland County"
2012,"Maine","Rape Revised",NA,"Androscoggin County"
2012,"Maine","Rape Revised",NA,"Cumberland County"
2012,"Maine","Robbery",31.6,"Androscoggin County"
2012,"Maine","Robbery",31.6,"Cumberland County"
2012,"Maine","Violent Crime",122.4,"Androscoggin County"
2012,"Maine","Violent Crime",122.4,"Cumberland County"
2014,"Maine","Aggravated Assault",66.8,"Androscoggin County"
2014,"Maine","Aggravated Assault",66.8,"Cumberland County"
2014,"Maine","Homicide",1.6,"Androscoggin County"
2014,"Maine","Homicide",1.6,"Cumberland County"
2014,"Maine","Property Crime",1986.6,"Androscoggin County"
2014,"Maine","Property Crime",1986.6,"Cumberland County"
2014,"Maine","Rape Legacy",26,"Androscoggin County"
2014,"Maine","Rape Legacy",26,"Cumberland County"
2014,"Maine","Rape Revised",36.4,"Androscoggin County"
2014,"Maine","Rape Revised",36.4,"Cumberland County"
2014,"Maine","Robbery",22.9,"Androscoggin County"
2014,"Maine","Robbery",22.9,"Cumberland County"
2014,"Maine","Violent Crime",127.6,"Androscoggin County"
2014,"Maine","Violent Crime",127.6,"Cumberland County"
2015,"Maine","Aggravated Assault",70,"Androscoggin County"
2015,"Maine","Aggravated Assault",70,"Cumberland County"
2015,"Maine","Homicide",1.7,"Androscoggin County"
2015,"Maine","Homicide",1.7,"Cumberland County"
2015,"Maine","Property Crime",1832.4,"Androscoggin County"
2015,"Maine","Property Crime",1832.4,"Cumberland County"
2015,"Maine","Rape Legacy",25.3,"Androscoggin County"
2015,"Maine","Rape Legacy",25.3,"Cumberland County"
2015,"Maine","Rape Revised",34.7,"Androscoggin County"
2015,"Maine","Rape Revised",34.7,"Cumberland County"
2015,"Maine","Robbery",23.4,"Androscoggin County"
2015,"Maine","Robbery",23.4,"Cumberland County"
2015,"Maine","Violent Crime",129.8,"Androscoggin County"
2015,"Maine","Violent Crime",129.8,"Cumberland County"
2013,"Maine","Aggravated Assault",68.3,"Androscoggin County"
2013,"Maine","Aggravated Assault",68.3,"Cumberland County"
2013,"Maine","Homicide",1.8,"Androscoggin County"
2013,"Maine","Homicide",1.8,"Cumberland County"
2013,"Maine","Property Crime",2292,"Androscoggin County"
2013,"Maine","Property Crime",2292,"Cumberland County"
2013,"Maine","Rape Legacy",27.5,"Androscoggin County"
2013,"Maine","Rape Legacy",27.5,"Cumberland County"
2013,"Maine","Rape Revised",37.3,"Androscoggin County"
2013,"Maine","Rape Revised",37.3,"Cumberland County"
2013,"Maine","Robbery",25.2,"Androscoggin County"
2013,"Maine","Robbery",25.2,"Cumberland County"
2013,"Maine","Violent Crime",132.5,"Androscoggin County"
2013,"Maine","Violent Crime",132.5,"Cumberland County"
2017,"Maine","Aggravated Assault",65,"Androscoggin County"
2017,"Maine","Aggravated Assault",65,"Cumberland County"
2017,"Maine","Homicide",1.7,"Androscoggin County"
2017,"Maine","Homicide",1.7,"Cumberland County"
2017,"Maine","Property Crime",1508.7,"Androscoggin County"
2017,"Maine","Property Crime",1508.7,"Cumberland County"
2017,"Maine","Rape Legacy",NA,"Androscoggin County"
2017,"Maine","Rape Legacy",NA,"Cumberland County"
2017,"Maine","Rape Revised",35.2,"Androscoggin County"
2017,"Maine","Rape Revised",35.2,"Cumberland County"
2017,"Maine","Robbery",18.7,"Androscoggin County"
2017,"Maine","Robbery",18.7,"Cumberland County"
2017,"Maine","Violent Crime",120.6,"Androscoggin County"
2017,"Maine","Violent Crime",120.6,"Cumberland County"
2016,"Maine","Aggravated Assault",71.3,"Androscoggin County"
2016,"Maine","Aggravated Assault",71.3,"Cumberland County"
2016,"Maine","Homicide",1.5,"Androscoggin County"
2016,"Maine","Homicide",1.5,"Cumberland County"
2016,"Maine","Property Crime",1646.9,"Androscoggin County"
2016,"Maine","Property Crime",1646.9,"Cumberland County"
2016,"Maine","Rape Legacy",22.6,"Androscoggin County"
2016,"Maine","Rape Legacy",22.6,"Cumberland County"
2016,"Maine","Rape Revised",31,"Androscoggin County"
2016,"Maine","Rape Revised",31,"Cumberland County"
2016,"Maine","Robbery",20.1,"Androscoggin County"
2016,"Maine","Robbery",20.1,"Cumberland County"
2016,"Maine","Violent Crime",124,"Androscoggin County"
2016,"Maine","Violent Crime",124,"Cumberland County"
2018,"Maine","Aggravated Assault",59.9,"Androscoggin County"
2018,"Maine","Aggravated Assault",59.9,"Cumberland County"
2018,"Maine","Homicide",1.7,"Androscoggin County"
2018,"Maine","Homicide",1.7,"Cumberland County"
2018,"Maine","Property Crime",1359.2,"Androscoggin County"
2018,"Maine","Property Crime",1359.2,"Cumberland County"
2018,"Maine","Rape Legacy",NA,"Androscoggin County"
2018,"Maine","Rape Legacy",NA,"Cumberland County"
2018,"Maine","Rape Revised",33.4,"Androscoggin County"
2018,"Maine","Rape Revised",33.4,"Cumberland County"
2018,"Maine","Robbery",17,"Androscoggin County"
2018,"Maine","Robbery",17,"Cumberland County"
2018,"Maine","Violent Crime",112,"Androscoggin County"
2018,"Maine","Violent Crime",112,"Cumberland County"
2019,"Maine","Aggravated Assault",61.3,"Androscoggin County"
2019,"Maine","Aggravated Assault",61.3,"Cumberland County"
2019,"Maine","Homicide",1.5,"Androscoggin County"
2019,"Maine","Homicide",1.5,"Cumberland County"
2019,"Maine","Property Crime",1245.6,"Androscoggin County"
2019,"Maine","Property Crime",1245.6,"Cumberland County"
2019,"Maine","Rape Legacy",NA,"Androscoggin County"
2019,"Maine","Rape Legacy",NA,"Cumberland County"
2019,"Maine","Rape Revised",38.4,"Androscoggin County"
2019,"Maine","Rape Revised",38.4,"Cumberland County"
2019,"Maine","Robbery",14,"Androscoggin County"
2019,"Maine","Robbery",14,"Cumberland County"
2019,"Maine","Violent Crime",115.2,"Androscoggin County"
2019,"Maine","Violent Crime",115.2,"Cumberland County"
2009,"Minnesota","Aggravated Assault",140.4,"Hennepin County"
2009,"Minnesota","Aggravated Assault",140.4,"Stearns County"
2009,"Minnesota","Homicide",1.4,"Hennepin County"
2009,"Minnesota","Homicide",1.4,"Stearns County"
2009,"Minnesota","Property Crime",2644.9,"Hennepin County"
2009,"Minnesota","Property Crime",2644.9,"Stearns County"
2009,"Minnesota","Rape Legacy",34,"Hennepin County"
2009,"Minnesota","Rape Legacy",34,"Stearns County"
2009,"Minnesota","Rape Revised",NA,"Hennepin County"
2009,"Minnesota","Rape Revised",NA,"Stearns County"
2009,"Minnesota","Robbery",68.7,"Hennepin County"
2009,"Minnesota","Robbery",68.7,"Stearns County"
2009,"Minnesota","Violent Crime",244.5,"Hennepin County"
2009,"Minnesota","Violent Crime",244.5,"Stearns County"
2010,"Minnesota","Aggravated Assault",136.2,"Hennepin County"
2010,"Minnesota","Aggravated Assault",136.2,"Stearns County"
2010,"Minnesota","Homicide",1.8,"Hennepin County"
2010,"Minnesota","Homicide",1.8,"Stearns County"
2010,"Minnesota","Property Crime",2569,"Hennepin County"
2010,"Minnesota","Property Crime",2569,"Stearns County"
2010,"Minnesota","Rape Legacy",33.9,"Hennepin County"
2010,"Minnesota","Rape Legacy",33.9,"Stearns County"
2010,"Minnesota","Rape Revised",NA,"Hennepin County"
2010,"Minnesota","Rape Revised",NA,"Stearns County"
2010,"Minnesota","Robbery",63.8,"Hennepin County"
2010,"Minnesota","Robbery",63.8,"Stearns County"
2010,"Minnesota","Violent Crime",235.7,"Hennepin County"
2010,"Minnesota","Violent Crime",235.7,"Stearns County"
2011,"Minnesota","Aggravated Assault",126.2,"Hennepin County"
2011,"Minnesota","Aggravated Assault",126.2,"Stearns County"
2011,"Minnesota","Homicide",1.4,"Hennepin County"
2011,"Minnesota","Homicide",1.4,"Stearns County"
2011,"Minnesota","Property Crime",2546.8,"Hennepin County"
2011,"Minnesota","Property Crime",2546.8,"Stearns County"
2011,"Minnesota","Rape Legacy",39.5,"Hennepin County"
2011,"Minnesota","Rape Legacy",39.5,"Stearns County"
2011,"Minnesota","Rape Revised",NA,"Hennepin County"
2011,"Minnesota","Rape Revised",NA,"Stearns County"
2011,"Minnesota","Robbery",63.3,"Hennepin County"
2011,"Minnesota","Robbery",63.3,"Stearns County"
2011,"Minnesota","Violent Crime",230.5,"Hennepin County"
2011,"Minnesota","Violent Crime",230.5,"Stearns County"
2012,"Minnesota","Aggravated Assault",134,"Hennepin County"
2012,"Minnesota","Aggravated Assault",134,"Stearns County"
2012,"Minnesota","Homicide",1.8,"Hennepin County"
2012,"Minnesota","Homicide",1.8,"Stearns County"
2012,"Minnesota","Property Crime",2568.1,"Hennepin County"
2012,"Minnesota","Property Crime",2568.1,"Stearns County"
2012,"Minnesota","Rape Legacy",30.4,"Hennepin County"
2012,"Minnesota","Rape Legacy",30.4,"Stearns County"
2012,"Minnesota","Rape Revised",NA,"Hennepin County"
2012,"Minnesota","Rape Revised",NA,"Stearns County"
2012,"Minnesota","Robbery",64.6,"Hennepin County"
2012,"Minnesota","Robbery",64.6,"Stearns County"
2012,"Minnesota","Violent Crime",230.9,"Hennepin County"
2012,"Minnesota","Violent Crime",230.9,"Stearns County"
2015,"Minnesota","Aggravated Assault",129.4,"Hennepin County"
2015,"Minnesota","Aggravated Assault",129.4,"Stearns County"
2015,"Minnesota","Homicide",2.4,"Hennepin County"
2015,"Minnesota","Homicide",2.4,"Stearns County"
2015,"Minnesota","Property Crime",2225,"Hennepin County"
2015,"Minnesota","Property Crime",2225,"Stearns County"
2015,"Minnesota","Rape Legacy",30.6,"Hennepin County"
2015,"Minnesota","Rape Legacy",30.6,"Stearns County"
2015,"Minnesota","Rape Revised",42.3,"Hennepin County"
2015,"Minnesota","Rape Revised",42.3,"Stearns County"
2015,"Minnesota","Robbery",68.8,"Hennepin County"
2015,"Minnesota","Robbery",68.8,"Stearns County"
2015,"Minnesota","Violent Crime",242.9,"Hennepin County"
2015,"Minnesota","Violent Crime",242.9,"Stearns County"
2013,"Minnesota","Aggravated Assault",127.4,"Hennepin County"
2013,"Minnesota","Aggravated Assault",127.4,"Stearns County"
2013,"Minnesota","Homicide",2.1,"Hennepin County"
2013,"Minnesota","Homicide",2.1,"Stearns County"
2013,"Minnesota","Property Crime",2419.6,"Hennepin County"
2013,"Minnesota","Property Crime",2419.6,"Stearns County"
2013,"Minnesota","Rape Legacy",26.8,"Hennepin County"
2013,"Minnesota","Rape Legacy",26.8,"Stearns County"
2013,"Minnesota","Rape Revised",37.1,"Hennepin County"
2013,"Minnesota","Rape Revised",37.1,"Stearns County"
2013,"Minnesota","Robbery",67.8,"Hennepin County"
2013,"Minnesota","Robbery",67.8,"Stearns County"
2013,"Minnesota","Violent Crime",234.4,"Hennepin County"
2013,"Minnesota","Violent Crime",234.4,"Stearns County"
2014,"Minnesota","Aggravated Assault",123.3,"Hennepin County"
2014,"Minnesota","Aggravated Assault",123.3,"Stearns County"
2014,"Minnesota","Homicide",1.6,"Hennepin County"
2014,"Minnesota","Homicide",1.6,"Stearns County"
2014,"Minnesota","Property Crime",2297.5,"Hennepin County"
2014,"Minnesota","Property Crime",2297.5,"Stearns County"
2014,"Minnesota","Rape Legacy",26.5,"Hennepin County"
2014,"Minnesota","Rape Legacy",26.5,"Stearns County"
2014,"Minnesota","Rape Revised",36.7,"Hennepin County"
2014,"Minnesota","Rape Revised",36.7,"Stearns County"
2014,"Minnesota","Robbery",67.6,"Hennepin County"
2014,"Minnesota","Robbery",67.6,"Stearns County"
2014,"Minnesota","Violent Crime",229.1,"Hennepin County"
2014,"Minnesota","Violent Crime",229.1,"Stearns County"
2017,"Minnesota","Aggravated Assault",129.3,"Hennepin County"
2017,"Minnesota","Aggravated Assault",129.3,"Stearns County"
2017,"Minnesota","Homicide",2,"Hennepin County"
2017,"Minnesota","Homicide",2,"Stearns County"
2017,"Minnesota","Property Crime",2198.8,"Hennepin County"
2017,"Minnesota","Property Crime",2198.8,"Stearns County"
2017,"Minnesota","Rape Legacy",NA,"Hennepin County"
2017,"Minnesota","Rape Legacy",NA,"Stearns County"
2017,"Minnesota","Rape Revised",43.2,"Hennepin County"
2017,"Minnesota","Rape Revised",43.2,"Stearns County"
2017,"Minnesota","Robbery",65.1,"Hennepin County"
2017,"Minnesota","Robbery",65.1,"Stearns County"
2017,"Minnesota","Violent Crime",239.7,"Hennepin County"
2017,"Minnesota","Violent Crime",239.7,"Stearns County"
2016,"Minnesota","Aggravated Assault",130,"Hennepin County"
2016,"Minnesota","Aggravated Assault",130,"Stearns County"
2016,"Minnesota","Homicide",1.8,"Hennepin County"
2016,"Minnesota","Homicide",1.8,"Stearns County"
2016,"Minnesota","Property Crime",2130.7,"Hennepin County"
2016,"Minnesota","Property Crime",2130.7,"Stearns County"
2016,"Minnesota","Rape Legacy",31.3,"Hennepin County"
2016,"Minnesota","Rape Legacy",31.3,"Stearns County"
2016,"Minnesota","Rape Revised",42.5,"Hennepin County"
2016,"Minnesota","Rape Revised",42.5,"Stearns County"
2016,"Minnesota","Robbery",67.5,"Hennepin County"
2016,"Minnesota","Robbery",67.5,"Stearns County"
2016,"Minnesota","Violent Crime",241.9,"Hennepin County"
2016,"Minnesota","Violent Crime",241.9,"Stearns County"
2018,"Minnesota","Aggravated Assault",122.6,"Hennepin County"
2018,"Minnesota","Aggravated Assault",122.6,"Stearns County"
2018,"Minnesota","Homicide",1.9,"Hennepin County"
2018,"Minnesota","Homicide",1.9,"Stearns County"
2018,"Minnesota","Property Crime",2001.1,"Hennepin County"
2018,"Minnesota","Property Crime",2001.1,"Stearns County"
2018,"Minnesota","Rape Legacy",NA,"Hennepin County"
2018,"Minnesota","Rape Legacy",NA,"Stearns County"
2018,"Minnesota","Rape Revised",44.1,"Hennepin County"
2018,"Minnesota","Rape Revised",44.1,"Stearns County"
2018,"Minnesota","Robbery",52.5,"Hennepin County"
2018,"Minnesota","Robbery",52.5,"Stearns County"
2018,"Minnesota","Violent Crime",221.2,"Hennepin County"
2018,"Minnesota","Violent Crime",221.2,"Stearns County"
2019,"Minnesota","Aggravated Assault",135.1,"Hennepin County"
2019,"Minnesota","Aggravated Assault",135.1,"Stearns County"
2019,"Minnesota","Homicide",2.1,"Hennepin County"
2019,"Minnesota","Homicide",2.1,"Stearns County"
2019,"Minnesota","Property Crime",2078.8,"Hennepin County"
2019,"Minnesota","Property Crime",2078.8,"Stearns County"
2019,"Minnesota","Rape Legacy",NA,"Hennepin County"
2019,"Minnesota","Rape Legacy",NA,"Stearns County"
2019,"Minnesota","Rape Revised",43.4,"Hennepin County"
2019,"Minnesota","Rape Revised",43.4,"Stearns County"
2019,"Minnesota","Robbery",55.8,"Hennepin County"
2019,"Minnesota","Robbery",55.8,"Stearns County"
2019,"Minnesota","Violent Crime",236.4,"Hennepin County"
2019,"Minnesota","Violent Crime",236.4,"Stearns County"
2009,"Ohio","Aggravated Assault",138.5,"Franklin County"
2009,"Ohio","Homicide",4.6,"Franklin County"
2009,"Ohio","Property Crime",3261.3,"Franklin County"
2009,"Ohio","Rape Legacy",35.7,"Franklin County"
2009,"Ohio","Rape Revised",NA,"Franklin County"
2009,"Ohio","Robbery",153.1,"Franklin County"
2009,"Ohio","Violent Crime",331.9,"Franklin County"
2010,"Ohio","Aggravated Assault",135.3,"Franklin County"
2010,"Ohio","Homicide",4.2,"Franklin County"
2010,"Ohio","Property Crime",3266.1,"Franklin County"
2010,"Ohio","Rape Legacy",32.3,"Franklin County"
2010,"Ohio","Rape Revised",NA,"Franklin County"
2010,"Ohio","Robbery",142.9,"Franklin County"
2010,"Ohio","Violent Crime",314.7,"Franklin County"
2011,"Ohio","Aggravated Assault",130.4,"Franklin County"
2011,"Ohio","Homicide",4.3,"Franklin County"
2011,"Ohio","Property Crime",3297.6,"Franklin County"
2011,"Ohio","Rape Legacy",31.9,"Franklin County"
2011,"Ohio","Rape Revised",NA,"Franklin County"
2011,"Ohio","Robbery",138.6,"Franklin County"
2011,"Ohio","Violent Crime",305.2,"Franklin County"
2012,"Ohio","Aggravated Assault",131,"Franklin County"
2012,"Ohio","Homicide",4.1,"Franklin County"
2012,"Ohio","Property Crime",3206.4,"Franklin County"
2012,"Ohio","Rape Legacy",33,"Franklin County"
2012,"Ohio","Rape Revised",NA,"Franklin County"
2012,"Ohio","Robbery",133.3,"Franklin County"
2012,"Ohio","Violent Crime",301.5,"Franklin County"
2015,"Ohio","Aggravated Assault",136.1,"Franklin County"
2015,"Ohio","Homicide",4.5,"Franklin County"
2015,"Ohio","Property Crime",2617.3,"Franklin County"
2015,"Ohio","Rape Legacy",34.4,"Franklin County"
2015,"Ohio","Rape Revised",46.9,"Franklin County"
2015,"Ohio","Robbery",108.7,"Franklin County"
2015,"Ohio","Violent Crime",296.2,"Franklin County"
2013,"Ohio","Aggravated Assault",124.2,"Franklin County"
2013,"Ohio","Homicide",4.1,"Franklin County"
2013,"Ohio","Property Crime",2924.4,"Franklin County"
2013,"Ohio","Rape Legacy",31.1,"Franklin County"
2013,"Ohio","Rape Revised",37.9,"Franklin County"
2013,"Ohio","Robbery",125.2,"Franklin County"
2013,"Ohio","Violent Crime",291.4,"Franklin County"
2014,"Ohio","Aggravated Assault",126.4,"Franklin County"
2014,"Ohio","Homicide",4,"Franklin County"
2014,"Ohio","Property Crime",2781,"Franklin County"
2014,"Ohio","Rape Legacy",33,"Franklin County"
2014,"Ohio","Rape Revised",45.1,"Franklin County"
2014,"Ohio","Robbery",110.2,"Franklin County"
2014,"Ohio","Violent Crime",285.7,"Franklin County"
2017,"Ohio","Aggravated Assault",144.2,"Franklin County"
2017,"Ohio","Homicide",6.4,"Franklin County"
